X,Y,Z,FALL,A,DX,DY,DZ,DA
10.18,2.41,2.95,0,10.869360606769838,0.03999999999999915,0.0,-0.029999999999999805,0.029245293730037147
10.18,2.41,2.95,0,10.869360606769838,0.0,0.0,0.0,0.0
10.18,2.41,2.95,0,10.869360606769838,0.0,0.0,0.0,0.0
10.18,2.41,2.95,0,10.869360606769838,0.0,0.0,0.0,0.0
10.18,2.41,2.95,0,10.869360606769838,0.0,0.0,0.0,0.0
10.18,2.41,2.95,0,10.869360606769838,0.0,0.0,0.0,0.0
10.18,2.41,2.95,0,10.869360606769838,0.0,0.0,0.0,0.0
10.18,2.41,2.95,0,10.869360606769838,0.0,0.0,0.0,0.0
10.18,2.41,2.95,0,10.869360606769838,0.0,0.0,0.0,0.0
10.14,2.41,2.95,0,10.83190657271378,-0.03999999999999915,0.0,0.0,-0.03745403405605785
10.14,2.41,2.95,0,10.83190657271378,0.0,0.0,0.0,0.0
10.14,2.41,2.95,0,10.83190657271378,0.0,0.0,0.0,0.0
10.14,2.41,2.95,0,10.83190657271378,0.0,0.0,0.0,0.0
10.14,2.41,2.95,0,10.83190657271378,0.0,0.0,0.0,0.0
10.14,2.41,2.95,0,10.83190657271378,0.0,0.0,0.0,0.0
10.14,2.41,2.95,0,10.83190657271378,0.0,0.0,0.0,0.0
10.14,2.41,2.95,0,10.83190657271378,0.0,0.0,0.0,0.0
10.14,2.41,2.95,0,10.83190657271378,0.0,0.0,0.0,0.0
10.06,2.41,2.98,0,10.765319317140575,-0.08000000000000007,0.0,0.029999999999999805,-0.06658725557320544
10.06,2.41,2.98,0,10.765319317140575,0.0,0.0,0.0,0.0
10.06,2.41,2.98,0,10.765319317140575,0.0,0.0,0.0,0.0
10.06,2.41,2.98,0,10.765319317140575,0.0,0.0,0.0,0.0
10.06,2.41,2.98,0,10.765319317140575,0.0,0.0,0.0,0.0
10.06,2.41,2.98,0,10.765319317140575,0.0,0.0,0.0,0.0
10.06,2.41,2.98,0,10.765319317140575,0.0,0.0,0.0,0.0
10.06,2.41,2.98,0,10.765319317140575,0.0,0.0,0.0,0.0
