X,Y,Z,FALL_HW,FALL_ML
10.18,-0.23,2.26,0,
10.18,-0.23,2.26,0,
10.33,0.08,1.61,0,
10.33,0.08,1.61,0,
10.33,0.08,1.61,0,
10.33,0.08,1.61,0,
10.33,0.08,1.61,0,
10.33,0.08,1.61,0,
10.33,0.08,1.61,0,
10.33,0.08,1.61,0,
10.33,0.08,1.61,0,
10.06,0.11,1.65,0,
10.06,0.11,1.65,0,
10.06,0.11,1.65,0,
10.06,0.11,1.65,0,
10.06,0.11,1.65,0,
10.06,0.11,1.65,0,
10.06,0.11,1.65,0,
10.06,0.11,1.65,0,
9.99,-0.34,2.53,0,
9.99,-0.34,2.53,0,
9.99,-0.34,2.53,0,
9.99,-0.34,2.53,0,
9.99,-0.34,2.53,0,
9.99,-0.34,2.53,0,
9.99,-0.34,2.53,0,
9.99,-0.34,2.53,0,
9.99,-0.34,2.53,0,
10.1,-0.15,2.07,0,
10.1,-0.15,2.07,0,
10.1,-0.15,2.07,0,
10.1,-0.15,2.07,0,
10.1,-0.15,2.07,0,
10.1,-0.15,2.07,0,
10.1,-0.15,2.07,0,
10.1,-0.15,2.07,0,
10.1,-0.15,2.07,0,0
10.29,-0.08,1.91,0,
10.29,-0.08,1.91,0,
10.29,-0.08,1.91,0,
10.29,-0.08,1.91,0,
10.29,-0.08,1.91,0,
10.29,-0.08,1.91,0,
10.29,-0.08,1.91,0,
10.29,-0.08,1.91,0,
10.29,-0.08,1.91,0,
10.29,0.04,1.99,0,
10.29,0.04,1.99,0,
10.29,0.04,1.99,0,
10.29,0.04,1.99,0,
10.29,0.04,1.99,0,
10.29,0.04,1.99,0,
10.29,0.04,1.99,0,
10.29,0.04,1.99,0,
10.29,0.04,1.99,0,
10.22,-0.27,2.07,0,
10.22,-0.27,2.07,0,
10.22,-0.27,2.07,0,
10.22,-0.27,2.07,0,
10.22,-0.27,2.07,0,
10.22,-0.27,2.07,0,
10.22,-0.27,2.07,0,
10.22,-0.27,2.07,0,
9.99,-0.42,2.53,0,
9.99,-0.42,2.53,0,
9.99,-0.42,2.53,0,
9.99,-0.42,2.53,0,
9.99,-0.42,2.53,0,
9.99,-0.42,2.53,0,
9.99,-0.42,2.53,0,
9.99,-0.42,2.53,0,
9.99,-0.42,2.53,0,
10.25,-0.23,2.3,0,
10.25,-0.23,2.3,0,
10.25,-0.23,2.3,0,
10.25,-0.23,2.3,0,
10.25,-0.23,2.3,0,
10.25,-0.23,2.3,0,
10.25,-0.23,2.3,0,
10.25,-0.23,2.3,0,
10.25,-0.23,2.3,0,
10.06,-0.19,2.3,0,
10.06,-0.19,2.3,0,
10.06,-0.19,2.3,0,
10.06,-0.19,2.3,0,
10.06,-0.19,2.3,0,
10.06,-0.19,2.3,0,
10.06,-0.19,2.3,0,
10.06,-0.19,2.3,0,
10.06,-0.19,2.3,0,
10.06,-0.34,2.45,0,
10.06,-0.34,2.45,0,
10.06,-0.34,2.45,0,
10.06,-0.34,2.45,0,
10.06,-0.34,2.45,0,
10.06,-0.34,2.45,0,
10.06,-0.34,2.45,0,
10.06,-0.34,2.45,0,
10.37,-0.04,2.14,0,
10.37,-0.04,2.14,0,
10.37,-0.04,2.14,0,
10.37,-0.04,2.14,0,
10.37,-0.04,2.14,0,
10.37,-0.04,2.14,0,
10.37,-0.04,2.14,0,
